artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Jay-Z,Logged In,Micheal,M,23,Morgan,223.26812,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Heart Of The City (Ain't No Love),200,1513720983284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
Evanescence,Logged In,Mason,M,3,Thomas,237.11302,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Bring Me To Life,200,1513720993284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Scissor Sisters,Logged In,Justin,M,82,Jones,218.01751,paid,"Dayton, TN",PUT,NextSong,1504706730284,1175,Laura,200,1513721031284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
3 Doors Down,Logged In,Zoie,F,28,Wright,237.13914,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,Here Without You,200,1513721045284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
George Younce,Logged In,Malachi,M,3,Lane,191.68608,free,"Sioux Falls, SD",PUT,NextSong,1510109243284,5272,This Old House w/ When The Saints Medley,200,1513721058284,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2146
Aly-Us,Logged In,Vera,F,7,Blackwell,383.58159,paid,"Racine, WI",PUT,NextSong,1499855749284,5516,Follow Me (Club Mix),200,1513721077284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2219
,Logged In,Justin,M,83,Jones,,paid,"Dayton, TN",GET,Home,1504706730284,1175,,200,1513721088284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
BjÃÂ¶rk,Logged In,Elena,F,0,Newman,348.57751,free,"Boston-Cambridge-Newton, MA-NH",PUT,NextSong,1513494341284,2903,Undo,200,1513721095284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2904
David Bromberg,Logged In,Alexander,M,1,Short,146.36363,free,"Green Bay, WI",PUT,NextSong,1513594398284,3689,Sheebeg And Sheemore,200,1513721097284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",597
Nickelback,Logged In,Abigail,F,4,Davidson,238.18404,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,Far Away (Album Version),200,1513721104284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
Darius Rucker,Logged In,Kenneth,M,113,Matthews,206.00118,paid,"Charlotte-Concord-Gastonia, NC-SC",PUT,NextSong,1509380319284,5132,Be Wary Of A Woman,200,1513721104284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1046
Mayday Parade,Logged In,Paige,F,1,Hunter,241.42322,free,"Brownwood, TX",PUT,NextSong,1498414068284,4406,I'd Hate To Be You When People Find Out What This Song Is About (Album),200,1513721109284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1162
Simple Minds,Logged In,Ryder,M,1,Rodriguez,401.78893,free,"Freeport, IL",PUT,NextSong,1513668346284,2941,Oh Jungleland,200,1513721127284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2942
,Logged In,Justin,M,84,Jones,,paid,"Dayton, TN",GET,Settings,1504706730284,1175,,200,1513721160284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
Dropkick Murphys,Logged In,Eliana,F,1,Thomas,159.76444,paid,"Knoxville, TN",PUT,NextSong,1511496362284,4686,Captain Kelly's Kitchen,200,1513721182284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2779
,Logged Out,,,0,,,free,,PUT,Login,,5598,,307,1513721196284,,""
Milczenie Owiec,Logged In,Micheal,M,24,Morgan,219.29751,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,CIEÃÂ,200,1513721206284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
Jonny Lang,Logged In,Lillian,F,2,Ryan,226.2722,free,"Charlotte-Concord-Gastonia, NC-SC",PUT,NextSong,1510762899284,4641,Red Light,200,1513721207284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2887
Nicole C. Mullen,Logged In,Connor,M,18,Gillespie,282.90567,paid,"Santa Cruz-Watsonville, CA",PUT,NextSong,1506639389284,5698,Without You (LP Version),200,1513721214284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1035
The Police,Logged In,Mason,M,4,Thomas,289.2273,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Message In A Bottle,200,1513721230284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Carla Bruni,Logged In,Alexander,M,2,Short,163.02975,free,"Green Bay, WI",PUT,NextSong,1513594398284,3689,Quelqu'un M'a Dit (Album Version),200,1513721243284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",597
,Logged In,Caitlin,F,1,Payne,,free,"Atlanta-Sandy Springs-Roswell, GA",GET,Home,1510779804284,5598,,200,1513721247284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,577
Biffy Clyro,Logged In,Justin,M,85,Jones,301.08689,paid,"Dayton, TN",PUT,NextSong,1504706730284,1175,Bubbles,200,1513721249284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
Labi Siffre,Logged In,Cesar,M,24,Johnson,244.81914,paid,"San Antonio-New Braunfels, TX",PUT,NextSong,1513431505284,428,Entertainment Value (2006 Digital Remaster),200,1513721266284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",429
,Logged In,Cesar,M,25,Johnson,,paid,"San Antonio-New Braunfels, TX",PUT,Logout,1513431505284,428,,307,1513721267284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",429
,Logged Out,,,26,,,paid,,GET,Home,,428,,200,1513721274284,,""
,Logged In,Adam,M,0,Silva,,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",GET,Home,1513049878284,5355,,200,1513721278284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",88
3OH!3,Logged In,Zoie,F,29,Wright,196.28363,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,DONTTRUSTME [BENNYBLANCOREMIX] FEATURINGKIDCUDI (Explicit Bonus Version),200,1513721282284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Poe,Logged In,Sophee,F,9,Barker,320.05179,paid,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",PUT,NextSong,1513009647284,2372,Haunted,200,1513721310284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2373
Public Enemy,Logged In,Kenneth,M,114,Matthews,281.05098,paid,"Charlotte-Concord-Gastonia, NC-SC",PUT,NextSong,1509380319284,5132,Public Enemy No.1,200,1513721310284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1046
,Logged In,Lucas,F,0,Hodges,,free,"Tupelo, MS",GET,Home,1483819940284,2084,,200,1513721321284,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2085
Deadmau5,Logged In,Caitlin,F,2,Payne,374.20363,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1510779804284,5598,Ghosts 'n' Stuff (Original Instrumental Mix),200,1513721328284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,577
Leonard Cohen,Logged In,Eliana,F,2,Thomas,153.46893,paid,"Knoxville, TN",PUT,NextSong,1511496362284,4686,Who By Fire,200,1513721341284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2779
Justin Bieber,Logged In,Abigail,F,5,Davidson,212.53179,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,Runaway Love,200,1513721342284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
Justin Bieber,Logged In,Gabriel,M,3,Koch,222.92853,paid,"Panama City, FL",PUT,NextSong,1505820418284,1060,Stuck In The Moment,200,1513721361284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,1061
Vox Dei,Logged In,Lucas,F,1,Hodges,137.27302,free,"Tupelo, MS",PUT,NextSong,1483819940284,2084,Libros Sapienciales,200,1513721376284,"\"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2085
Coheed and Cambria,Logged In,Micheal,M,25,Morgan,300.64281,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Cuts Marked In The March Of Men,200,1513721425284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
Agoria,Logged In,Lillian,F,3,Ryan,396.09424,free,"Charlotte-Concord-Gastonia, NC-SC",PUT,NextSong,1510762899284,4641,La 11Eme Marche (Alexander Kowalski Remix),200,1513721433284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2887
The Game,Logged In,Vera,F,8,Blackwell,240.48281,paid,"Racine, WI",PUT,NextSong,1499855749284,5516,Dope Boys,200,1513721460284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2219
The Shins,Logged In,Zoie,F,30,Wright,238.65424,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,Australia (Album),200,1513721478284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Rickie Lee Jones,Logged In,Eliana,F,3,Thomas,295.05261,paid,"Knoxville, TN",PUT,NextSong,1511496362284,4686,Satellites,200,1513721494284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2779
Martina Topley Bird,Logged In,Connor,M,19,Gillespie,216.37179,paid,"Santa Cruz-Watsonville, CA",PUT,NextSong,1506639389284,5698,Valentine,200,1513721496284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1035
The Buggles,Logged In,Mason,M,5,Thomas,198.08608,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Video Killed The Radio Star,200,1513721519284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Radney Foster,Logged In,Ryder,M,2,Rodriguez,288.96608,free,"Freeport, IL",PUT,NextSong,1513668346284,2941,Sweet And Wild,200,1513721528284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2942
Whitesnake,Logged In,Justin,M,86,Jones,335.77751,paid,"Dayton, TN",PUT,NextSong,1504706730284,1175,Crying In The Rain (1987 Version) (2007 Digital Remaster),200,1513721550284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
The Rocket Summer,Logged In,Abigail,F,6,Davidson,227.65669,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,Brat Pack,200,1513721554284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
B.o.B,Logged In,Gabriel,M,4,Koch,269.63546,paid,"Panama City, FL",PUT,NextSong,1505820418284,1060,Nothin' On You [feat. Bruno Mars] (Album Version),200,1513721583284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,1061
Jag Panzer,Logged In,Kenneth,M,115,Matthews,217.99138,paid,"Charlotte-Concord-Gastonia, NC-SC",PUT,NextSong,1509380319284,5132,Reign Of The Tyrants,200,1513721591284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1046
The Asteroids Galaxy Tour,Logged In,Sophee,F,10,Barker,228.20526,paid,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",PUT,NextSong,1513009647284,2372,Around The Bend,200,1513721630284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2373
,Logged In,Jonah,M,0,Harding,,free,"San Diego-Carlsbad, CA",GET,Home,1512586869284,4038,,200,1513721646284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,1847
,Logged In,Raylen,F,0,Garcia,,free,"Knoxville, TN",GET,Home,1509970400284,1817,,200,1513721648284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,1818
Deathstars,Logged In,Vera,F,9,Blackwell,233.9522,paid,"Racine, WI",PUT,NextSong,1499855749284,5516,Cyanide,200,1513721700284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2219
Pepper,Logged In,Connor,M,20,Gillespie,166.32118,paid,"Santa Cruz-Watsonville, CA",PUT,NextSong,1506639389284,5698,Slave,200,1513721712284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1035
Alison Krauss / Union Station,Logged In,Zoie,F,31,Wright,227.18649,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,Crazy Faith,200,1513721716284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Beastie Boys,Logged In,Mason,M,6,Thomas,211.722,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Unite (2009 Digital Remaster),200,1513721717284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Blumentopf;Clueso,Logged In,Micheal,M,26,Morgan,189.28281,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Manajah,200,1513721725284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
,Logged In,Justin,M,87,Jones,,paid,"Dayton, TN",GET,Downgrade,1504706730284,1175,,200,1513721730284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
Foo Fighters,Logged In,Abigail,F,7,Davidson,271.38567,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,The Pretender,200,1513721781284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
B.o.B,Logged In,Eliana,F,4,Thomas,269.63546,paid,"Knoxville, TN",PUT,NextSong,1511496362284,4686,Nothin' On You [feat. Bruno Mars] (Album Version),200,1513721789284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2779
Boyzone,Logged In,Kenneth,M,116,Matthews,168.04526,paid,"Charlotte-Concord-Gastonia, NC-SC",PUT,NextSong,1509380319284,5132,Father And Son,200,1513721808284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1046
Sick Puppies,Logged In,Ryder,M,3,Rodriguez,248.58077,free,"Freeport, IL",PUT,NextSong,1513668346284,2941,What Are You Looking For,200,1513721816284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2942
,Logged In,Ryder,M,4,Rodriguez,,free,"Freeport, IL",PUT,Logout,1513668346284,2941,,307,1513721817284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2942
Peter Bjorn And John,Logged In,Gabriel,M,5,Koch,228.85832,paid,"Panama City, FL",PUT,NextSong,1505820418284,1060,The Chills,200,1513721852284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,1061
,Logged In,Connor,M,21,Gillespie,,paid,"Santa Cruz-Watsonville, CA",GET,Help,1506639389284,5698,,200,1513721855284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1035
Tito Allen,Logged In,Sophee,F,11,Barker,298.97098,paid,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",PUT,NextSong,1513009647284,2372,Que Se Sepa,200,1513721858284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2373
Josh Turner,Logged In,Connor,M,22,Gillespie,211.85261,paid,"Santa Cruz-Watsonville, CA",PUT,NextSong,1506639389284,5698,Your Man,200,1513721878284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1035
Bill Wells & Maher Shalal Hash Baz,Logged In,Justin,M,88,Jones,131.44771,paid,"Dayton, TN",PUT,NextSong,1504706730284,1175,Banned Announcement,200,1513721885284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
Bloc Party,Logged In,Joshua,M,46,Blake,210.83383,paid,"Fayetteville-Springdale-Rogers, AR-MO",PUT,NextSong,1512526653284,5340,Trojan Horse,200,1513721892284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1949
Madonna,Logged In,Micheal,M,27,Morgan,191.13751,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Like A Virgin (Edit Version),200,1513721914284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
Talib Kweli / Mos Def,Logged In,Mason,M,7,Thomas,254.58893,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Joy,200,1513721928284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Alliance Ethnik,Logged In,Vera,F,10,Blackwell,195.94404,paid,"Racine, WI",PUT,NextSong,1499855749284,5516,SinceritÃÂ© Et Jalousie,200,1513721933284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2219
Monster Magnet,Logged In,Zoie,F,32,Wright,245.13261,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,See You In Hell,200,1513721943284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Hollywood Undead,Logged In,Kenneth,M,117,Matthews,185.20771,paid,"Charlotte-Concord-Gastonia, NC-SC",PUT,NextSong,1509380319284,5132,No. 5,200,1513721976284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1046
Chicks On Speed,Logged In,Pierre,M,0,Jackson,248.18893,free,"Wichita, KS",PUT,NextSong,1498489343284,4404,Vibrator,200,1513722006284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",481
,Logged Out,,,5,,,free,,GET,Home,,2941,,200,1513722009284,,""
LeAnn Rimes,Logged In,Justin,M,89,Jones,177.37098,paid,"Dayton, TN",PUT,NextSong,1504706730284,1175,Nothin' Bout Love Makes Sense,200,1513722016284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
Kings Of Leon,Logged In,Abigail,F,8,Davidson,204.2771,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,Manhattan,200,1513722052284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
Jeri Southern,Logged In,Eliana,F,5,Thomas,228.12689,paid,"Knoxville, TN",PUT,NextSong,1511496362284,4686,Crazy He Calls Me,200,1513722058284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2779
Red Hot Chili Peppers,Logged In,Gabriel,M,6,Koch,321.82812,paid,"Panama City, FL",PUT,NextSong,1505820418284,1060,Californication (Album Version),200,1513722080284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,1061
